faction,page_num,distance,tail,fire,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25
german,1,close,TRUE,none,205,18,10,1,187,70,80,100,71,7,13,15,17,21,16,81,11,34,153,24,23,107,82,102,103,159
german,2,close,TRUE,out,22,30,35,2,3,1,12,34,7,205,213,76,187,188,15,17,198,209,70,23,55,16,24,10,11,80
german,3,close,TRUE,none,55,104,64,3,76,187,198,27,24,23,30,175,15,19,54,16,35,26,17,44,199,43,92,53,10,11
german,4,close,FALSE,none,79,186,162,4,89,5,28,87,58,68,59,196,78,37,197,67,99,97,57,194,193,214,210,189,77,66
german,5,close,FALSE,none,68,202,189,5,78,57,66,156,212,58,48,197,67,96,214,216,77,87,109,210,194,215,211,190,191,206
german,6,close,FALSE,none,32,48,77,6,5,46,56,181,220,47,95,78,57,86,67,109,66,88,110,58,68,216,212,191,206,207
german,7,close,FALSE,none,213,19,15,7,205,82,107,42,83,18,20,22,24,27,23,93,16,10,147,30,29,92,94,43,91,120
german,8,close,TRUE,out,28,6,3,8,9,7,17,10,18,213,188,88,205,209,22,24,187,198,82,29,66,23,30,15,16,107
german,9,close,TRUE,none,66,46,75,9,88,205,187,35,30,29,6,181,22,25,65,23,3,36,24,56,206,55,45,76,15,16
german,10,close,FALSE,in,91,147,132,10,42,11,34,40,81,107,82,125,102,61,126,103,41,51,80,120,119,157,151,163,100,90
german,11,close,FALSE,none,107,172,163,11,102,80,90,168,153,81,71,126,103,50,157,159,100,40,184,151,120,158,152,164,165,192
german,12,close,FALSE,none,17,71,100,12,11,69,79,195,178,70,49,102,80,39,103,184,90,101,185,81,107,159,153,165,192,193
german,13,close,FALSE,out,4,32,9,13,14,18,24,15,19,188,209,99,213,198,28,30,205,187,94,5,78,29,6,22,23,92
german,14,close,FALSE,none,78,58,87,14,99,213,205,3,6,5,32,189,28,31,77,29,9,2,30,67,214,66,57,88,22,23
german,15,close,FALSE,none,44,219,171,15,54,16,10,52,93,92,94,176,43,72,177,91,53,63,107,201,200,118,145,124,42,102
german,16,close,FALSE,in,92,139,124,16,43,107,102,132,147,93,83,177,91,62,118,120,42,52,151,145,201,119,146,125,126,157
german,17,close,FALSE,none,24,83,42,17,16,81,103,163,172,82,61,43,107,51,91,151,102,41,152,93,92,120,147,126,157,158
german,18,close,FALSE,in,188,25,22,18,213,94,92,54,106,19,26,28,30,35,29,104,23,15,219,6,5,45,105,55,44,201
german,19,close,FALSE,none,209,31,28,19,188,105,45,65,108,25,36,4,6,3,5,46,29,22,111,32,33,57,47,66,56,208
german,20,close,FALSE,mutual,34,12,14,20,21,19,30,22,25,209,198,101,188,187,4,6,213,205,105,33,90,5,32,28,29,45
german,21,close,FALSE,none,90,69,98,21,101,188,213,9,32,33,12,195,4,1,89,5,14,8,6,79,192,78,68,99,28,29
german,22,close,FALSE,none,56,111,150,22,65,23,15,64,104,45,105,182,55,84,183,44,76,74,92,208,207,199,217,175,54,43
german,23,close,FALSE,none,45,112,175,23,55,92,43,171,219,104,106,183,44,73,199,201,54,64,145,217,208,200,218,176,177,118
german,24,close,FALSE,in,30,106,54,24,23,93,91,124,139,94,72,55,92,63,44,145,43,53,146,104,45,201,219,177,118,119
german,25,close,FALSE,none,198,1,4,25,209,47,57,77,48,31,2,34,32,9,33,58,5,28,212,12,11,68,59,78,67,216
german,26,close,FALSE,out,10,17,21,26,27,25,6,28,31,198,187,41,209,205,34,32,188,213,47,11,102,33,12,4,5,57
german,27,close,FALSE,in,102,81,40,27,41,209,188,14,12,11,17,163,34,7,100,33,21,13,32,103,157,90,80,101,4,5
german,28,close,FALSE,none,67,212,156,28,77,29,22,75,46,57,47,190,66,95,191,56,88,86,45,216,215,206,109,181,65,55
german,29,close,FALSE,none,57,220,181,29,66,45,55,150,111,46,108,191,56,85,206,208,65,75,217,109,216,207,110,182,183,199
german,30,close,FALSE,none,6,108,65,30,29,104,44,175,112,105,84,66,45,74,56,217,55,76,218,46,57,208,111,183,199,200
german,31,close,TRUE,none,187,7,34,31,198,59,68,89,60,1,8,10,12,14,11,69,33,4,186,17,16,80,70,90,79,194
german,32,close,FALSE,none,12,60,89,32,33,58,67,189,202,59,37,90,68,97,79,210,78,99,211,69,80,194,186,197,214,215
german,33,close,FALSE,none,80,178,195,33,90,68,78,162,186,69,60,165,79,38,192,194,89,98,210,184,159,193,185,196,197,214
german,34,close,FALSE,none,103,153,168,34,100,33,4,98,69,80,70,164,90,49,165,79,101,39,68,159,158,192,184,195,89,78
german,35,close,FALSE,none,43,93,52,35,53,198,209,21,17,16,24,124,10,18,42,11,27,20,12,91,118,102,107,41,34,33
german,36,close,TRUE,out,15,24,27,36,35,31,32,4,1,187,205,53,198,213,10,12,209,188,59,16,43,11,17,34,33,68
german,37,medium,TRUE,none,9,213,198,37,2,60,69,90,49,8,14,3,1,4,187,70,12,33,178,205,22,17,7,11,80,184
german,38,medium,TRUE,out,99,5,2,38,97,49,70,11,13,14,4,87,8,33,9,7,1,12,71,28,77,205,213,187,17,81
german,39,medium,FALSE,none,89,68,97,39,98,13,7,187,188,4,33,162,14,12,99,213,8,1,18,78,197,28,5,9,205,24
german,40,medium,FALSE,none,166,184,160,40,168,21,13,8,33,90,80,223,101,70,195,4,39,49,188,192,223,89,79,98,14,213
german,41,medium,FALSE,none,157,152,167,41,163,34,21,39,80,103,81,223,100,71,164,90,40,50,33,158,223,165,159,168,101,4
german,42,medium,FALSE,in,119,223,223,42,125,102,41,166,151,120,147,223,126,141,223,157,132,135,103,223,223,223,223,223,163,100
german,43,medium,FALSE,none,201,223,223,43,177,91,42,131,146,145,139,223,118,133,223,119,124,130,120,223,223,223,223,223,125,126
german,44,medium,FALSE,none,217,223,223,44,199,201,177,223,223,218,113,223,200,137,223,223,176,170,223,223,223,223,223,223,223,223
german,45,medium,FALSE,none,46,221,182,45,56,217,199,223,223,111,222,206,208,144,207,223,183,150,223,110,109,223,223,223,223,223
german,46,medium,FALSE,none,47,204,191,46,57,110,207,223,223,220,142,67,109,148,216,223,206,181,223,212,58,223,223,223,223,223
german,47,medium,FALSE,none,31,37,78,47,32,212,216,190,203,48,96,33,58,87,68,211,67,77,223,59,12,210,202,214,215,223
german,48,medium,TRUE,none,2,8,33,48,31,202,210,197,180,37,97,198,59,99,12,186,68,78,223,1,187,69,60,79,194,223
german,49,medium,FALSE,none,14,188,187,49,8,71,81,102,61,13,21,9,7,34,205,82,17,11,172,213,28,24,18,16,107,151
german,50,medium,FALSE,out,101,33,8,50,39,61,82,16,20,21,34,98,13,11,14,18,7,17,83,4,89,213,188,205,24,93
german,51,medium,FALSE,none,100,80,39,51,40,20,18,205,209,34,11,168,21,17,101,188,13,7,19,90,165,4,33,14,213,30
german,52,medium,FALSE,in,126,151,166,52,132,27,20,13,11,102,107,223,41,82,163,34,51,61,209,157,223,100,103,40,21,188
german,53,medium,FALSE,none,118,146,131,53,124,10,27,51,107,91,93,223,42,83,125,102,52,62,11,119,223,126,120,132,41,34
german,54,medium,FALSE,none,200,223,223,54,176,43,53,130,145,201,219,223,177,114,223,118,171,138,91,223,223,223,223,223,124,42
german,55,medium,FALSE,none,208,223,223,55,183,44,54,170,218,217,112,223,199,136,223,200,175,169,201,223,223,223,223,223,176,177
german,56,medium,FALSE,none,109,223,223,56,206,208,183,223,223,110,221,223,207,143,223,223,182,149,223,223,223,223,223,223,223,223
german,57,medium,FALSE,none,58,203,190,57,67,109,206,223,223,212,204,214,216,117,215,223,191,156,223,211,210,223,223,223,223,223
german,58,medium,FALSE,none,59,180,197,58,68,211,215,223,223,202,115,79,210,154,194,223,214,189,223,186,69,223,223,223,223,223
german,59,medium,FALSE,none,1,49,90,59,12,186,194,196,179,60,38,11,69,98,80,185,79,89,223,70,17,184,178,192,193,223
german,60,medium,TRUE,none,8,13,11,60,1,178,184,165,174,49,39,187,70,101,17,153,80,90,223,7,205,81,71,103,159,223
german,61,medium,FALSE,none,21,209,205,61,13,83,93,43,72,20,27,14,18,10,213,94,24,16,139,188,4,30,19,23,92,145
german,62,medium,FALSE,mutual,41,11,13,62,51,72,94,23,26,27,10,40,20,16,21,19,18,24,106,34,100,188,209,213,30,104
german,63,medium,FALSE,none,42,107,51,63,52,26,19,213,198,10,16,132,27,24,41,209,20,18,25,102,126,34,11,21,188,6
german,64,medium,FALSE,none,177,145,130,64,171,35,26,20,16,43,92,223,53,94,124,10,63,72,198,118,223,42,91,52,27,209
german,65,medium,FALSE,none,207,223,223,65,182,55,76,169,217,208,111,223,183,222,223,199,150,144,44,223,223,223,223,223,175,54
german,66,medium,FALSE,none,216,223,223,66,191,56,65,149,110,109,220,223,206,142,223,207,181,148,208,223,223,223,223,223,182,183
german,67,medium,FALSE,none,210,223,223,67,214,216,191,223,223,211,203,223,215,116,223,223,190,155,223,223,223,223,223,223,223,223
german,68,medium,FALSE,none,69,179,196,68,79,210,214,223,223,186,180,192,194,123,193,223,197,162,223,185,184,223,223,223,223,223
german,69,medium,FALSE,none,70,174,165,69,80,185,193,223,223,178,121,103,184,160,159,223,192,195,223,153,81,223,223,223,223,223
german,70,medium,FALSE,none,7,61,102,70,17,153,159,164,173,71,50,16,81,40,107,152,103,100,223,82,24,151,172,157,158,223
german,71,medium,FALSE,none,13,20,16,71,7,172,151,126,141,61,51,205,82,41,24,147,107,102,223,18,213,93,83,91,120,223
german,72,medium,FALSE,none,27,198,213,72,20,106,104,55,84,26,35,21,19,15,188,105,30,23,112,209,34,6,25,29,45,217
german,73,medium,FALSE,out,53,16,20,73,63,84,105,29,36,35,15,52,26,23,27,25,19,30,108,10,42,209,198,188,6,46
german,74,medium,FALSE,none,54,92,63,74,64,36,25,188,187,15,23,171,35,30,53,198,26,19,31,43,177,10,16,27,209,32
german,75,medium,TRUE,none,183,217,169,75,150,3,36,26,23,55,45,223,76,105,175,15,74,84,187,199,223,54,44,64,35,198
german,76,medium,FALSE,none,199,218,170,76,175,15,35,63,92,44,104,223,54,106,176,43,64,73,16,200,223,177,201,171,53,10
german,77,medium,FALSE,none,215,223,223,77,190,66,88,148,109,216,212,223,191,204,223,206,156,117,56,223,223,223,223,223,181,65
german,78,medium,FALSE,none,194,223,223,78,197,67,77,155,211,210,202,223,214,115,223,215,189,154,216,223,223,223,223,223,190,191
german,79,medium,FALSE,none,184,223,223,79,192,194,197,223,223,185,179,223,193,122,223,223,196,161,223,223,223,223,223,223,223,223
german,80,medium,FALSE,none,81,173,164,80,103,184,192,223,223,153,174,157,159,129,158,223,165,168,223,152,151,223,223,223,223,223
german,81,medium,FALSE,none,82,141,126,81,107,152,158,223,223,172,127,91,151,166,120,223,157,163,223,147,93,223,223,223,223,223
german,82,medium,FALSE,none,18,72,43,82,24,147,120,125,140,83,62,23,93,52,92,146,91,42,223,94,30,145,139,118,119,223
german,83,medium,FALSE,in,20,26,23,83,18,139,145,177,114,72,63,213,94,53,30,219,92,43,223,19,188,104,106,44,201,223
german,84,medium,FALSE,none,35,187,188,84,26,108,46,66,95,36,3,27,25,22,209,47,6,29,220,198,10,32,31,5,57,109
german,85,medium,TRUE,out,76,23,26,85,74,95,47,5,2,3,22,64,36,29,35,31,25,6,48,15,54,198,187,209,32,58
german,86,medium,TRUE,none,65,45,74,86,75,2,31,209,205,22,29,150,3,6,76,187,36,25,1,55,183,15,23,35,198,12
german,87,medium,TRUE,none,191,109,148,87,156,9,2,36,29,66,57,223,88,47,181,22,86,95,205,206,223,65,56,75,3,187
